Latitude (average),Longitude (average),"Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term"
12.5,-69.9667,4.9646
33.0,65.0,5.0159
-12.5,18.5,4.6586
41.0,20.0,4.0426
42.5,1.6,4.199
24.0,54.0,5.0043
-34.0,-64.0,4.5992
40.0,45.0,4.1063
-14.3333,-170.0,3.9826
17.05,-61.8,4.7696
-27.0,133.0,4.7071
47.3333,13.3333,3.2571
40.5,47.5,3.8177
-3.5,30.0,4.1723
50.8333,4.0,2.9164
9.5,2.25,4.1978
13.0,-2.0,4.5701
24.0,90.0,3.8806
43.0,25.0,3.7028
26.0,50.55,4.8686
24.25,-76.0,4.5481
44.0,18.0,3.5697
53.0,28.0,2.9485
17.25,-88.75,4.1768
32.3333,-64.75,4.1838
-17.0,-65.0,4.9421
-17.0,-65.0,4.9421
-10.0,-55.0,4.4042
13.1667,-59.5333,4.7151
4.5,114.6667,3.9009
4.5,114.6667,3.9009
27.5,90.5,3.9158
-22.0,24.0,5.1069
7.0,21.0,4.4666
60.0,-95.0,3.8155
47.0,8.0,3.3639
-30.0,-71.0,5.3647
35.0,105.0,3.8825
8.0,-5.0,3.9999
8.0,-5.0,3.9999
6.0,12.0,4.2771
0.0,25.0,4.2556
-1.0,15.0,3.7669
4.0,-72.0,4.0492
-12.1667,44.25,4.2856
16.0,-24.0,4.6823
10.0,-84.0,4.093
21.5,-80.0,4.5409
19.5,-80.5,4.6273
35.0,33.0,4.6983
49.75,15.5,3.0481
51.0,9.0,2.9608
11.5,43.0,4.7972
15.4167,-61.3333,3.9702
56.0,10.0,2.8434
19.0,-70.6667,4.5698
28.0,3.0,4.9167
-2.0,-77.5,3.4015
27.0,30.0,5.2467
15.0,39.0,4.8948
40.0,-4.0,4.4127
59.0,26.0,2.8369
8.0,38.0,4.6954
-18.0,175.0,3.8151
46.0,2.0,3.3861
6.9167,158.25,3.888
-1.0,11.75,3.6024
54.0,-2.0,2.6127
42.0,43.5,3.7084
8.0,-2.0,4.0203
11.0,-10.0,4.4374
13.4667,-16.5667,4.569
12.0,-15.0,4.4576
2.0,10.0,3.6671
39.0,22.0,4.143
12.1167,-61.6667,4.4519
15.5,-90.25,4.3855
13.4667,144.7833,4.532
5.0,-59.0,4.1959
22.25,114.1667,3.2718
15.0,-86.5,4.2629
45.1667,15.5,3.6306
19.0,-72.4167,4.6766
47.0,20.0,3.4402
-5.0,120.0,3.7674
54.23,-4.55,2.7637
20.0,77.0,4.322
53.0,-8.0,2.5126
32.0,53.0,4.9159
33.0,44.0,4.6783
31.5,34.75,5.0763
42.8333,12.8333,3.9933
18.25,-77.5,4.3858
31.0,36.0,5.315
36.0,138.0,3.4456
48.0,68.0,3.685
1.0,38.0,4.5042
41.0,75.0,4.1149
13.0,105.0,4.125
1.4167,173.0,4.8231
17.3333,-62.75,4.6456
37.0,127.5,3.8163
37.0,127.5,3.8163
29.3375,47.6581,4.8155
18.0,105.0,3.8709
33.8333,35.8333,4.8315
6.5,-9.5,3.8833
25.0,17.0,5.1243
25.0,17.0,5.1243
13.8833,-61.1333,4.5225
47.1667,9.5333,3.2454
7.0,81.0,4.2118
-29.5,28.5,5.1349
56.0,24.0,2.8704
49.75,6.1667,2.9478
57.0,25.0,2.8531
22.1667,113.55,3.4041
32.0,-5.0,5.0065
47.0,29.0,3.4493
-20.0,47.0,4.7579
3.25,73.0,4.4418
23.0,-102.0,4.9241
9.0,168.0,4.2382
41.8333,22.0,3.8814
17.0,-4.0,4.6763
35.8333,14.5833,4.5618
22.0,98.0,4.1414
22.0,98.0,4.1414
42.0,19.0,3.8174
46.0,105.0,4.7573
15.2,145.75,4.6546
-18.25,35.0,4.435
20.0,-12.0,4.7491
-20.2833,57.55,4.2148
-13.5,34.0,4.6006
2.5,112.5,3.7399
-22.0,17.0,5.3791
-21.5,165.5,3.9764
16.0,8.0,4.837
10.0,8.0,4.2977
13.0,-85.0,4.1085
52.5,5.75,2.8647
62.0,10.0,2.7612
28.0,84.0,3.996
-0.5333,166.9167,4.651
-41.0,174.0,3.6774
21.0,57.0,5.1683
30.0,70.0,4.7126
9.0,-80.0,3.9655
-10.0,-76.0,4.901
13.0,122.0,3.9324
7.5,134.5,4.005
-6.0,147.0,3.6919
52.0,20.0,2.9844
18.25,-66.5,4.3964
40.0,127.0,3.9158
39.5,-8.0,4.3155
-23.0,-58.0,4.2814
32.0,35.25,4.9348
-15.0,-140.0,4.3941
25.5,51.25,4.9174
46.0,25.0,3.5236
60.0,100.0,3.3552
60.0,100.0,3.3552
-2.0,30.0,4.1021
25.0,45.0,5.1588
15.0,30.0,4.9432
14.0,-14.0,4.5835
1.3667,103.8,3.5513
-8.0,159.0,3.6894
8.5,-11.5,4.0862
13.8333,-88.9167,4.8272
43.7667,12.4167,3.7595
10.0,49.0,4.7617
44.0,21.0,3.5203
8.0,30.0,4.4569
1.0,7.0,3.4681
4.0,-56.0,4.269
48.6667,19.5,3.2655
46.0,15.0,3.4345
62.0,15.0,2.8373
-26.5,31.5,4.3186
-4.5833,55.6667,4.3476
35.0,38.0,4.8542
21.75,-71.5833,4.7221
15.0,19.0,4.8374
8.0,1.1667,4.1243
15.0,100.0,4.0646
39.0,71.0,4.3406
40.0,60.0,4.3678
-8.55,125.5167,4.3391
-20.0,-175.0,4.0078
11.0,-61.0,4.349
34.0,9.0,4.7445
39.0,35.0,4.3232
-8.0,178.0,4.2668
-6.0,35.0,4.5067
1.0,32.0,4.4616
49.0,32.0,3.2962
-33.0,-56.0,4.3043
38.0,-97.0,4.3584
41.0,64.0,4.2688
13.25,-61.2,4.2728
13.25,-61.2,4.2728
13.25,-61.2,4.2728
8.0,-66.0,4.3545
8.0,-66.0,4.3545
18.5,-64.5,4.8547
18.3333,-64.8333,4.7504
16.0,106.0,3.5544
16.0,106.0,3.5544
-16.0,167.0,3.5305
-13.5833,-172.3333,4.0529
15.0,48.0,5.2137
-29.0,24.0,5.0036
-15.0,30.0,4.8281
-20.0,30.0,4.8611
