Latitude (average),Longitude (average),"Average economic potential (LCOE, USD/kWh), 2018"
12.5,-69.9667,0.0853
33.0,65.0,0.0851
-12.5,18.5,0.0919
41.0,20.0,0.1051
42.5,1.6,0.0986
24.0,54.0,0.0848
-34.0,-64.0,0.1084
40.0,45.0,0.1038
-14.3333,-170.0,0.1082
17.05,-61.8,0.089
-27.0,133.0,0.0949
47.3333,13.3333,0.1094
40.5,47.5,0.1116
-3.5,30.0,0.1019
50.8333,4.0,0.1219
9.5,2.25,0.1015
13.0,-2.0,0.093
24.0,90.0,0.109
43.0,25.0,0.1147
26.0,50.55,0.0869
24.25,-76.0,0.0936
44.0,18.0,0.1195
53.0,28.0,0.1446
17.25,-88.75,0.1018
32.3333,-64.75,0.1015
-17.0,-65.0,0.0884
-17.0,-65.0,0.0884
-10.0,-55.0,0.1189
13.1667,-59.5333,0.0901
4.5,114.6667,0.1092
4.5,114.6667,0.1092
27.5,90.5,0.1078
-22.0,24.0,0.0833
7.0,21.0,0.0952
60.0,-95.0,0.1767
47.0,8.0,0.106
-30.0,-71.0,0.0684
35.0,105.0,0.0727
8.0,-5.0,0.1066
8.0,-5.0,0.1066
6.0,12.0,0.1
0.0,25.0,0.1002
-1.0,15.0,0.1132
4.0,-72.0,0.1059
-12.1667,44.25,0.1001
16.0,-24.0,0.0907
10.0,-84.0,0.1048
21.5,-80.0,0.0937
19.5,-80.5,0.0919
35.0,33.0,0.0905
49.75,15.5,0.1167
51.0,9.0,0.1119
11.5,43.0,0.0886
15.4167,-61.3333,0.1077
56.0,10.0,0.1252
19.0,-70.6667,0.0932
28.0,3.0,0.0867
-2.0,-77.5,0.1273
27.0,30.0,0.081
15.0,39.0,0.087
40.0,-4.0,0.081
59.0,26.0,0.126
8.0,38.0,0.0908
-18.0,175.0,0.1123
46.0,2.0,0.0954
6.9167,158.25,0.1148
-1.0,11.75,0.1181
54.0,-2.0,0.1521
42.0,43.5,0.115
8.0,-2.0,0.106
11.0,-10.0,0.0958
13.4667,-16.5667,0.093
12.0,-15.0,0.0953
2.0,10.0,0.116
39.0,22.0,0.0861
12.1167,-61.6667,0.0972
15.5,-90.25,0.0974
13.4667,144.7833,0.0938
5.0,-59.0,0.1014
22.25,114.1667,0.1301
15.0,-86.5,0.1
45.1667,15.5,0.1176
19.0,-72.4167,0.0911
47.0,20.0,0.1035
-5.0,120.0,0.112
54.23,-4.55,0.1287
20.0,77.0,0.0682
53.0,-8.0,0.1418
32.0,53.0,0.0868
33.0,44.0,0.0909
31.5,34.75,0.0706
42.8333,12.8333,0.0673
18.25,-77.5,0.0971
31.0,36.0,0.08
36.0,138.0,0.1712
48.0,68.0,0.1163
1.0,38.0,0.0946
41.0,75.0,0.1036
13.0,105.0,0.103
1.4167,173.0,0.0865
17.3333,-62.75,0.0918
37.0,127.5,0.1011
37.0,127.5,0.1011
29.3375,47.6581,0.0882
18.0,105.0,0.11
33.8333,35.8333,0.0881
6.5,-9.5,0.1095
25.0,17.0,0.083
25.0,17.0,0.083
13.8833,-61.1333,0.0943
47.1667,9.5333,0.1277
7.0,81.0,0.101
-29.5,28.5,0.0836
56.0,24.0,0.1241
49.75,6.1667,0.1202
57.0,25.0,0.1252
22.1667,113.55,0.1047
32.0,-5.0,0.0851
47.0,29.0,0.1232
-20.0,47.0,0.0899
3.25,73.0,0.0958
23.0,-102.0,0.0902
9.0,168.0,0.1029
41.8333,22.0,0.1095
17.0,-4.0,0.0909
35.8333,14.5833,0.093
22.0,98.0,0.1026
22.0,98.0,0.1026
42.0,19.0,0.1116
46.0,105.0,0.0898
15.2,145.75,0.0914
-18.25,35.0,0.0958
20.0,-12.0,0.0895
-20.2833,57.55,0.1015
-13.5,34.0,0.0924
2.5,112.5,0.1138
-22.0,17.0,0.0791
-21.5,165.5,0.1076
16.0,8.0,0.0879
10.0,8.0,0.0997
13.0,-85.0,0.104
52.5,5.75,0.1241
62.0,10.0,0.1292
28.0,84.0,0.1064
-0.5333,166.9167,0.0913
-41.0,174.0,0.097
21.0,57.0,0.0822
30.0,70.0,0.0906
9.0,-80.0,0.1077
-10.0,-76.0,0.0884
13.0,122.0,0.1085
7.5,134.5,0.1063
-6.0,147.0,0.1159
52.0,20.0,0.1192
18.25,-66.5,0.0969
40.0,127.0,0.1084
39.5,-8.0,0.0826
-23.0,-58.0,0.0993
32.0,35.25,0.0858
-15.0,-140.0,0.0745
25.5,51.25,0.0863
46.0,25.0,0.1207
60.0,100.0,0.2322
60.0,100.0,0.2322
-2.0,30.0,0.1037
25.0,45.0,0.0859
15.0,30.0,0.086
14.0,-14.0,0.0927
1.3667,103.8,0.1205
-8.0,159.0,0.117
8.5,-11.5,0.104
13.8333,-88.9167,0.088
43.7667,12.4167,0.1018
10.0,49.0,0.0897
44.0,21.0,0.1207
8.0,30.0,0.0954
1.0,7.0,0.124
4.0,-56.0,0.0993
48.6667,19.5,0.109
46.0,15.0,0.104
62.0,15.0,0.1256
-26.5,31.5,0.0989
-4.5833,55.6667,0.098
35.0,38.0,0.0876
21.75,-71.5833,0.0898
15.0,19.0,0.088
8.0,1.1667,0.1031
15.0,100.0,0.1046
39.0,71.0,0.0984
40.0,60.0,0.0973
-8.55,125.5167,0.0982
-20.0,-175.0,0.1065
11.0,-61.0,0.0978
34.0,9.0,0.0898
39.0,35.0,0.0824
-8.0,178.0,0.1
-6.0,35.0,0.0947
1.0,32.0,0.0955
49.0,32.0,0.1295
-33.0,-56.0,0.0988
38.0,-97.0,0.1028
41.0,64.0,0.0997
13.25,-61.2,0.1025
13.25,-61.2,0.1025
13.25,-61.2,0.1025
8.0,-66.0,0.0977
8.0,-66.0,0.0977
18.5,-64.5,0.0877
18.3333,-64.8333,0.0751
16.0,106.0,0.1219
16.0,106.0,0.1219
-16.0,167.0,0.1245
-13.5833,-172.3333,0.1064
15.0,48.0,0.0818
-29.0,24.0,0.1146
-15.0,30.0,0.088
-20.0,30.0,0.0875
